ID;ID da hospedagem;Nome da hospedagem;ID do Hospede;Nome do Hospede;Grupo de vizinhança;latitude;longitude;Tipo de hospedagem;Preço;locação mínima;Número de avaliações;Taxa mesal de ocupação;Número máximo de hóspedes;Disponibilidade anual
1;2539;Clean & quiet apt home by the park;2787;John;Brooklyn;4064749;-7397237;Quarto Privativo;125;1;9;0,21;6;365
2;2595;Skylit Midtown Castle;2845;Jennifer;Manhattan;4075362;-7398377;Ap/Casa inteira;79;1;45;0,38;2;355
6;5099;Large Cozy 1 BR Apartment In Midtown East;7322;Chris;Manhattan;4074767;-73975;Ap/Casa inteira;60;3;74;0,59;1;129
23;8025;CBG Helps Haiti Room#2.5;22486;Lisel;Brooklyn;4067989;-7397798;Quarto Privativo;80;1;39;0,37;6;364
24;8110;CBG Helps Haiti Rm #2;22486;Lisel;Brooklyn;4068001;-7397865;Quarto Privativo;60;2;71;0,61;6;304
25;8490;MAISON DES SIRENES1,bohemian apartment;25183;Nathalie;Brooklyn;4068371;-7394028;Ap/Casa inteira;50;2;88;0,73;2;233
28;9357;Midtown Pied-a-terre;30193;Tommi;Manhattan;4076715;-7398533;Ap/Casa inteira;70;10;58;0,49;1;75
30;9657;Modern 1 BR / NYC / EAST VILLAGE;21904;Dana;Manhattan;407292;-7398542;Ap/Casa inteira;97;14;29;0,24;1;67
35;10452;Large B&B Style rooms;35935;Angela;Brooklyn;406831;-7395473;Quarto Privativo;60;1;74;0,66;2;269
42;12299;Beautiful Sunny Park Slope Brooklyn;47610;Abdul;Brooklyn;4066278;-7397966;Ap/Casa inteira;110;3;15;0,39;1;345
43;12303;1bdr w private bath. in lofty apt;47618;Yolande;Brooklyn;4069673;-7397584;Quarto Privativo;99;7;25;0,23;1;311
44;12318;West Side Retreat;16800;Cyn;Manhattan;4079009;-7397927;Quarto Privativo;55;4;81;0,69;1;273
45;12343;BEST BET IN HARLEM;47727;Earl;Manhattan;4081175;-7394478;Ap/Casa inteira;50;7;97;0,84;1;309
48;12940;Charming Brownstone 3 - Near PRATT;50148;Adreinne;Brooklyn;4068111;-7395591;Ap/Casa inteira;69;7;61;0,52;1;265
